     68/99      2.2G   0.02378  0.003223         0     0.027        34       640    0.9633    0.9374    0.9794    0.7331   0.03211  0.004074         0
     69/99      2.2G   0.02336  0.003031         0   0.02639        48       640    0.9605    0.9336    0.9795    0.7299   0.03204  0.004099         0
     70/99      2.2G   0.02306  0.003264         0   0.02633        28       640    0.9682    0.9323    0.9787    0.7353   0.03158  0.004105         0
     71/99      2.2G   0.02292  0.003143         0   0.02607        35       640    0.9644    0.9374    0.9757    0.7309   0.03112  0.004093         0
     72/99      2.2G   0.02277  0.003148         0   0.02592        60       640    0.9636    0.9464    0.9789    0.7356   0.03198  0.004055         0
     73/99      2.2G    0.0229  0.003043         0   0.02594        37       640    0.9634    0.9438    0.9781    0.7363   0.03157  0.004033         0
     74/99      2.2G   0.02341  0.003113         0   0.02652        63       640    0.9625    0.9502      0.98    0.7354   0.03267  0.004092         0
     75/99      2.2G    0.0228  0.003058         0   0.02586        31       640     0.966    0.9451    0.9799    0.7372    0.0315  0.004102         0
     76/99      2.2G   0.02256  0.003045         0    0.0256        44       640    0.9611    0.9462    0.9796    0.7387   0.03253  0.004104         0
     77/99      2.2G   0.02289  0.003182         0   0.02607        50       640    0.9635    0.9451    0.9772    0.7358    0.0321  0.004078         0
     78/99      2.2G   0.02221  0.003001         0   0.02521        33       640    0.9576    0.9515    0.9822    0.7392   0.03075  0.004051         0
     79/99      2.2G   0.02202  0.003095         0   0.02512        40       640    0.9709    0.9371    0.9802    0.7376   0.03157  0.004117         0
     80/99      2.2G   0.02205  0.003145         0   0.02519        49       640    0.9685    0.9438    0.9798    0.7356   0.03141  0.004087         0
     81/99      2.2G   0.02259  0.003128         0   0.02571        34       640    0.9625      0.95    0.9794    0.7388   0.03192  0.004079         0
     82/99      2.2G   0.02239  0.003112         0    0.0255        45       640    0.9647    0.9464     0.978    0.7358   0.03022  0.004082         0
     83/99      2.2G    0.0222  0.003048         0   0.02525        39       640    0.9659    0.9412    0.9799    0.7389   0.03038  0.004108         0
     84/99      2.2G   0.02241  0.003241         0   0.02565        28       640    0.9635    0.9428    0.9801     0.738   0.03188  0.004073         0
     85/99      2.2G   0.02244  0.003089         0   0.02553        41       640    0.9575    0.9501    0.9809    0.7377   0.03285   0.00405         0
     86/99      2.2G   0.02217  0.003025         0    0.0252        49       640    0.9672    0.9411    0.9813    0.7402   0.03144  0.004081         0
     87/99      2.2G   0.02192  0.003114         0   0.02503        33       640    0.9708    0.9335    0.9799    0.7369   0.03122  0.004078         0
